ORTHOMCL	NCRA	CTHT	Pfam	CAZY	MEROPS
ORTHO_00130	3	1	Hydantoinase_A (3); Hydantoinase_B (3); Hydant_A_N (3); Oxysterol_BP (2); PH (2); PH_8 (2)		
ORTHO_00131	3	1	Transthyretin (4)		
ORTHO_00132	4	0	Pkinase (1)		
ORTHO_00133	3	1			
ORTHO_00134	2	2	RNA_pol_Rpb1_R (6); RNA_pol_Rpb1_3 (4); RNA_pol_Rpb1_5 (4); RNA_pol_Rpb1_2 (4); RNA_pol_Rpb1_1 (4); RNA_pol_Rpb1_4 (4); RNA_pol_Rpb1_7 (2); RNA_pol_Rpb1_6 (2)		
ORTHO_00135	3	1	Pkinase (8); Pkinase_Tyr (4)		
ORTHO_00136	3	1			
ORTHO_00137	3	1	ubiquitin (4); Rad60-SLD (4)		
ORTHO_00138	3	1	Choline_kinase (4); Choline_kin_N (4); APH (4)		
ORTHO_00139	3	1	OPT (3); ResIII (2); DEAD (2); Helicase_C (2)		
ORTHO_00140	3	1	KH_1 (12)		
ORTHO_00141	3	1			
ORTHO_00142	2	2	Dynamin_N (4); GED (4); Dynamin_M (4); MMR_HSR1 (1)		
ORTHO_00143	3	1	Pkinase (4); Pkinase_Tyr (4); Kinase-like (1)		
ORTHO_00144	3	1			
ORTHO_00145	3	1	CS (4)		
ORTHO_00146	4	0			
ORTHO_00147	3	1	Pkinase (4); Pkinase_Tyr (4)		
ORTHO_00148	4	0	CN_hydrolase (4)		
ORTHO_00149	2	2	ABC_tran (8); Chromo (2)		
ORTHO_00150	3	1	OTU (4)		MER116559 (4); MER116525 (4)
ORTHO_00151	3	1			
ORTHO_00152	3	1	ApbA_C (4); ApbA (4)		
ORTHO_00153	3	1			
ORTHO_00154	3	1	RhoGAP (4)		
ORTHO_00155	3	1			
ORTHO_00156	3	1			
ORTHO_00157	2	2	Sec63 (8); ResIII (8); DEAD (8); Helicase_C (6)		
ORTHO_00158	3	1	Epimerase (4); Polysacc_synt_2 (4); RmlD_sub_bind (4); 3Beta_HSD (4); NAD_binding_4 (4); GDP_Man_Dehyd (4); NAD_binding_10 (3)		
ORTHO_00159	4	0	MFS_1 (4)		
ORTHO_00160	3	1	HLH (4)		
ORTHO_00161	3	1	Histone (4); CBFD_NFYB_HMF (4); Histone_H2A_C (4)		
ORTHO_00162	3	1	PXB (4); PX (4); DUF3818 (4)		
ORTHO_00163	3	1	tRNA_SAD (4); tRNA-synt_2b (4); TGS (4); HGTP_anticodon (4)		
ORTHO_00164	3	1	Peptidase_C48 (4)		MER049618 (4); MER011023 (4); MER011109 (4); MER024832 (4); MER031325 (4); MER144548 (4); MER011024 (4); MER185888 (4); MER011725 (1); MER011026 (1)
ORTHO_00165	3	1			
ORTHO_00166	3	1	NIF (4)		
ORTHO_00167	3	1	mRNA_cap_C (3); mRNA_cap_enzyme (3); PX (2); Vps5 (1)		
ORTHO_00168	3	1	EFG_C (4); EFG_II (4); GTP_EFTU_D2 (4); GTP_EFTU (4)		
ORTHO_00169	2	2	FAD-oxidase_C (4); FAD_binding_4 (4)	AA7.hmm (3); AA4.hmm (1)	
ORTHO_00170	3	1			
ORTHO_00171	3	1	Asp (4); TAXi_N (3)		MER000921 (4); MER003668 (4); MER000922 (4); MER090758 (4); MER001437 (4); MER014006 (4); MER004932 (4); MER000928 (4); MER003037 (4); MER006243 (4)
ORTHO_00172	3	1	CBFD_NFYB_HMF (4); Histone (4)		
ORTHO_00173	4	0	Hce2 (4)		
ORTHO_00174	3	1	Cation_efflux (4); ZT_dimer (2)		
ORTHO_00175	3	1	HUN (4)		
ORTHO_00176	3	1	Sel1 (28)		
ORTHO_00177	2	2	Aconitase (5); Aconitase_C (4)		
ORTHO_00178	4	0			
ORTHO_00179	3	1	MAPEG (4)		
ORTHO_00180	3	1	Pex24p (4)		
ORTHO_00181	4	0			
ORTHO_00182	2	2	Cation_ATPase_N (4); E1-E2_ATPase (4); Cation_ATPase_C (4); Hydrolase (4); Hydrolase_3 (4); Cation_ATPase (4)		
ORTHO_00183	2	2	Ceramidase_alk (4); Ceramidse_alk_C (4)		
ORTHO_00184	3	1	Sec16_C (4); Sec16 (4)		
ORTHO_00185	3	1			
ORTHO_00186	3	1	DnaJ (4)		
ORTHO_00187	3	1	Sugar_tr (4); MFS_1 (4)		
ORTHO_00188	4	0			
ORTHO_00189	3	1	UCH (4); UCH_1 (4); DUF3517 (4)		MER014780 (4); MER004314 (4); MER000867 (4); MER004015 (4); MER014628 (4); MER002496 (4); MER005706 (4); MER005877 (4); MER185433 (4); MER002475 (3); MER013524 (1)
ORTHO_00190	2	2	CENP-T_C (4); TAF (4); CBFD_NFYB_HMF (2)		
ORTHO_00191	3	1	Tom7 (4)		
ORTHO_00192	3	1	HMGL-like (4)		
ORTHO_00193	3	1	Vac14_Fab1_bd (4); Vac14_Fig4_bd (4); HEAT (4)		
ORTHO_00194	2	2	AAA (8); AAA_2 (4); AAA_5 (4); ClpB_D2-small (4); Sigma54_activat (3); Clp_N (2)		
ORTHO_00195	2	2	ABC_membrane (8); ABC_tran (7); Acetyltransf_8 (1)		
ORTHO_00196	3	1	Reticulon (4)		
ORTHO_00197	2	2	Glyco_hydro_7 (4); CBM_1 (2)	GH7.hmm (4); CBM1.hmm (2)	
ORTHO_00198	3	1	SH3_1 (4); DOCK_N (4); DHR-2 (4); DOCK-C2 (4)		
ORTHO_00199	4	0			
ORTHO_00200	3	1	SurE (1)		
ORTHO_00201	3	1	PfkB (4)		
ORTHO_00202	3	1	Biotin_carb_C (3); Biotin_carb_N (3); CPSase_L_D2 (3); ATP-grasp_3 (3); Biotin_lipoyl (3); Dala_Dala_lig_C (3); ATP-grasp (3); AcetylCoA_hyd_C (2); AcetylCoA_hydro (2)		
ORTHO_00203	3	1	PUF (28)		
ORTHO_00204	3	1	DUF1761 (4)		
ORTHO_00205	3	1	Hpt (4)		
ORTHO_00206	3	1	SAM_2 (4); HMG_box (4); HMG_box_2 (4); SAM_1 (4)		
ORTHO_00207	2	2	EFG_IV (4); EFG_C (4); GTP_EFTU (4); GTP_EFTU_D2 (4); EFG_II (3); MMR_HSR1 (2); EFTUD2 (2)		
ORTHO_00208	2	2	Peptidase_M1 (4); ERAP1_C (4)		MER091680 (4); MER006264 (4); MER011440 (4); MER019759 (4); MER001010 (4); MER002078 (4); MER001009 (4); MER011183 (4); MER002746 (4); MER011371 (2); MER005331 (1); MER002968 (1)
ORTHO_00209	3	1	UPRTase (4)		
ORTHO_00210	3	1	RhoGAP (4)		
ORTHO_00211	3	1	RRM_1 (8)		
ORTHO_00212	2	2			
ORTHO_00213	2	2	Zn_clus (3); Fungal_trans_2 (2)		
ORTHO_00214	3	1	DUF3176 (4)		
ORTHO_00215	3	1	PBD (4); Kinase-like (4); Pkinase_Tyr (4); Pkinase (4)		
ORTHO_00216	3	1	peroxidase (4)	AA2.hmm (4)	
ORTHO_00217	3	1	Aldedh (4)		
ORTHO_00218	4	0			
ORTHO_00219	3	1	Mob1_phocein (4)		
ORTHO_00220	3	1	Glyco_transf_28 (4); GRAM (4); PH (4)	GT1.hmm (4)	
ORTHO_00221	3	1	Sec7 (4); PH (3)		
ORTHO_00222	2	2	FAD_binding_4 (3); BBE (3); MFS_1 (2)	AA7.hmm (3)	
ORTHO_00223	2	2	Sugar_tr (4); MFS_1 (4); TRI12 (1)		
ORTHO_00224	2	2	Adaptin_N (4); Cnd1 (4); HEAT_2 (3); HEAT (1)		
ORTHO_00225	2	2	ILVD_EDD (4)		
ORTHO_00226	2	2	Tubulin_C (4); Tubulin (4)		
ORTHO_00227	1	3			
ORTHO_00228	2	2	Aldedh (4)		
ORTHO_00229	2	2	Sulfate_transp (4); STAS (4)		
ORTHO_00230	2	2	AMP-binding (4)		
ORTHO_00231	2	2	Hydrolase (4); PhoLip_ATPase_N (4); PhoLip_ATPase_C (4); Cation_ATPase (4); E1-E2_ATPase (2)		
ORTHO_00232	2	2	XFP_C (4); XFP (4); XFP_N (4)		
ORTHO_00233	2	2	DEK_C (4); Glyco_trans_2_3 (4); Glyco_tranf_2_3 (4); Chitin_synth_2 (4); Cyt-b5 (4); Myosin_head (3)	GT2.hmm (4)	
ORTHO_00234	4	0			
ORTHO_00235	3	1	NAD_binding_8 (4); Amino_oxidase (4)		
ORTHO_00236	3	1			
ORTHO_00237	3	1	tRNA-synt_2d (4); Arginosuc_synth (3); FDX-ACB (2)		
ORTHO_00238	3	1			
ORTHO_00239	3	1	Peptidase_C12 (4)		MER011686 (4); MER000841 (4); MER002474 (4); MER024033 (4); MER000832 (4); MER000840 (4); MER014613 (4); MER000836 (4); MER015672 (4); MER123739 (4)
ORTHO_00240	3	1			
ORTHO_00241	3	1			
ORTHO_00242	3	1	Iso_dh (4)		
ORTHO_00243	2	1	Pkinase_Tyr (3); Pkinase (3)		
ORTHO_00244	2	1	Mo-co_dimer (6); Cyt-b5 (3); Oxidored_molyb (3)		
ORTHO_00245	2	1	ZZ (4); N_BRCA1_IG (3)		
ORTHO_00246	2	1	Acetyltransf_10 (3); FR47 (3); Acetyltransf_1 (3)		
ORTHO_00247	2	1	Ribosom_S12_S23 (3)		
ORTHO_00248	2	1	Pkinase (3); Pkinase_Tyr (3)		
ORTHO_00249	2	1	TPR_8 (15); TPR_16 (12); TPR_2 (10); TPR_1 (9); TPR_6 (7); ANAPC3 (3); TPR_7 (3); TPR_14 (2); TPR_11 (1); TPR_19 (1)		
ORTHO_00250	2	1	Myb_DNA-binding (6); Myb_DNA-bind_6 (4)		
ORTHO_00251	2	1	Pil1 (4)		
ORTHO_00252	2	1			
ORTHO_00253	2	1			
ORTHO_00254	2	1	Aminotran_1_2 (3)		
ORTHO_00255	2	1	AhpC-TSA (3); Redoxin (3)		
ORTHO_00256	2	1			
ORTHO_00257	2	1	zf-RanBP (6); RNase_T (3); RRM_1 (3)		
ORTHO_00258	2	1	ThiF (3)		
ORTHO_00259	3	0			
ORTHO_00260	2	1	Pkinase_Tyr (3); Pkinase (3); Kinase-like (1)		
ORTHO_00261	2	1	Pkinase (3); Pkinase_Tyr (3)		
ORTHO_00262	2	1	PPR (11); PPR_3 (10); PPR_2 (5); PPR_long (3); PPR_1 (3)		
ORTHO_00263	2	1	Glyco_transf_15 (3)	GT15.hmm (3)	
ORTHO_00264	2	1	adh_short (3); KR (3); adh_short_C2 (3)		
ORTHO_00265	2	1			
ORTHO_00266	2	1	Septin (3); MMR_HSR1 (3)		
ORTHO_00267	2	1	Amidohydro_3 (3); Amidohydro_1 (2)		
ORTHO_00268	3	0	Metallophos (3); Pur_ac_phosph_N (3); Metallophos_C (3)		
ORTHO_00269	2	1	SET (3)		
ORTHO_00270	2	1	K_oxygenase (3); NAD_binding_9 (1); Pyr_redox_3 (1)		
ORTHO_00271	2	1	AdoHcyase (6); AdoHcyase_NAD (3)		
ORTHO_00272	2	1	Tctex-1 (3)		
ORTHO_00273	2	1			
ORTHO_00274	2	1			
ORTHO_00275	2	1	VPS9 (3)		
ORTHO_00276	2	1	Alpha-amylase_C (3); Alpha-amylase (3); CBM_48 (3)	CBM48.hmm (3); GH13.hmm (3)	
ORTHO_00277	3	0			
ORTHO_00278	2	1	TIP41 (3)		
ORTHO_00279	2	1	MFS_1 (3)		
ORTHO_00280	2	1	PseudoU_synth_2 (3)		
ORTHO_00281	2	1	Rotamase_3 (3); Rotamase (3)		
ORTHO_00282	2	1	Tau95 (3)		
ORTHO_00283	2	1	COX5A (3)		
ORTHO_00284	2	1	Ribosomal_L4 (3)		
ORTHO_00285	3	0	MFS_1 (3)		
ORTHO_00286	2	1			
ORTHO_00287	2	1	cNMP_binding (6)		
ORTHO_00288	2	1	Pkinase (3); Pkinase_Tyr (3)		
ORTHO_00289	2	1			
ORTHO_00290	2	1	Glyco_trans_2_3 (3); Glyco_tranf_2_3 (3); Chitin_synth_2 (3)	GT2.hmm (3)	
ORTHO_00291	2	1	Response_reg (3)		
ORTHO_00292	2	1	Zn_clus (3)		
ORTHO_00293	2	1	Aminotran_3 (3)		
ORTHO_00294	2	1			
ORTHO_00295	3	0	Metallophos (3); Metallophos_2 (1)		
ORTHO_00296	2	1	Ctr (3)		
ORTHO_00297	3	0			
ORTHO_00298	2	1	PAP2 (3)		
ORTHO_00299	2	1	Tubulin (3); Tubulin_C (3); Misat_Tub_SegII (1)		
ORTHO_00300	2	1			
ORTHO_00301	2	1	MaoC_dehydrat_N (3); MaoC_dehydratas (3); Acyl_transf_1 (3); DUF1729 (3); SAT (1)		
ORTHO_00302	2	1			
ORTHO_00303	2	1	Rib_5-P_isom_A (3)		
ORTHO_00304	2	1	DER1 (3)		
ORTHO_00305	2	1	Linker_histone (3)		
ORTHO_00306	2	1	PUF (17)		
ORTHO_00307	2	1	Metallophos (3)		
ORTHO_00308	2	1	HLH (3)		
ORTHO_00309	2	1	bZIP_1 (3); PAP1 (2)		
ORTHO_00310	2	1			
ORTHO_00311	2	1	ADH_N (3); ADH_zinc_N (3); ADH_zinc_N_2 (2)		
ORTHO_00312	2	1	TFIIB (6); TF_Zn_Ribbon (3)		
ORTHO_00313	2	1	DFP (3)		
ORTHO_00314	2	1	PDEase_I (3)		
ORTHO_00315	2	1	KH_1 (3); DUF974 (1)		
ORTHO_00316	2	1	IATP (3)		
ORTHO_00317	2	1	Acetyltransf_1 (3); FR47 (1)		
ORTHO_00318	2	1			
ORTHO_00319	2	1	SRPRB (3); Roc (3); Gtr1_RagA (3); Arf (3); MMR_HSR1 (3); Ras (3)		
ORTHO_00320	2	1	Lgl_C (3); ANAPC4_WD40 (1); WD40 (1)		
ORTHO_00321	3	0	ubiquitin (6); Rad60-SLD (6); Ubiquitin_2 (6); Rad60-SLD_2 (4); Ribosomal_S27 (2)		
ORTHO_00322	2	1			
ORTHO_00323	2	1	Xpo1 (3)		
ORTHO_00324	2	1	Hydrolase_like (3); Hydrolase_6 (3)		
ORTHO_00325	2	1	NIF (4)		
ORTHO_00326	2	1	GIT_SHD (6)		
ORTHO_00327	2	1			
ORTHO_00328	2	1			
ORTHO_00329	2	1	Thr_dehydrat_C (6); PALP (3)		
ORTHO_00330	2	1	Homeobox (3); Homeobox_KN (1)		
ORTHO_00331	2	1			
ORTHO_00332	2	1	UCH_1 (4); UCH (3)		MER014642 (3); MER002895 (3); MER014743 (3); MER002881 (3); MER004311 (3); MER004310 (3); MER001883 (3); MER014629 (3); MER014770 (3); MER005454 (3)
ORTHO_00333	3	0			
ORTHO_00334	2	1	HLH (3)		
ORTHO_00335	2	1	CHORD (6); CS (3)		
ORTHO_00336	2	1			
ORTHO_00337	2	1	Bac_rhodopsin (3)		
ORTHO_00338	2	1	DENN (3); uDENN (3)		
ORTHO_00339	2	1	Aldose_epim (5)		
ORTHO_00340	2	1	HBS1_N (3); GTP_EFTU_D3 (3); GTP_EFTU (3); MMR_HSR1 (1)		
ORTHO_00341	2	1	Ribonuclease (2)		
ORTHO_00342	2	1			
ORTHO_00343	2	1	DnaJ (3); DnaJ_CXXCXGXG (3); DnaJ_C (3)		
ORTHO_00344	2	1	ATG16 (3)		
ORTHO_00345	2	1	Gal_mutarotas_2 (3); NtCtMGAM_N (3); Glyco_hydro_31 (3)	GH31.hmm (3)	
ORTHO_00346	3	0			
ORTHO_00347	3	0	Arginase (3)		
ORTHO_00348	2	1	BLM10_N (3); BLM10_mid (3); DUF3437 (3)		
ORTHO_00349	2	1	Bromodomain (6); BET (3)		
ORTHO_00350	2	1	PseudoU_synth_1 (3)		
ORTHO_00351	2	1	PGAP1 (2); DUF676 (1)		
ORTHO_00352	3	0	MafB19-deam (3); dCMP_cyt_deam_1 (3)		
ORTHO_00353	2	1			
ORTHO_00354	2	1	Methyltransf_23 (3); Methyltransf_11 (3); Methyltransf_25 (3); Methyltransf_12 (2)		
ORTHO_00355	2	1			
ORTHO_00356	3	0	LAGLIDADG_1 (4); Proton_antipo_N (3); Proton_antipo_M (2)		
ORTHO_00357	2	1	FAD_binding_3 (5); NAD_binding_8 (1); Lycopene_cycl (1); Pyr_redox_3 (1)		
ORTHO_00358	2	1	Ppx-GppA (3)		
ORTHO_00359	2	1	DUF3712 (2)		
ORTHO_00360	2	1	RRM_1 (3)		
ORTHO_00361	2	1	Alpha-amylase (3); Glyco_transf_5 (3); Glycos_transf_1 (1)	GH13.hmm (3); GT5.hmm (3)	
ORTHO_00362	2	1	NUDE_C (3)		
ORTHO_00363	2	1	Neurochondrin (3)		
ORTHO_00364	2	1	R3H (3); RRM_1 (3)		
ORTHO_00365	2	1	Glyco_hydro_47 (3)	GH47.hmm (3)	
ORTHO_00366	2	1	XLF (3)		
ORTHO_00367	2	1	MBOAT (3)		
ORTHO_00368	3	0			
ORTHO_00369	2	1	DUF4048 (3)		
ORTHO_00370	2	1	DUF572 (3)		
ORTHO_00371	3	0			
ORTHO_00372	2	1	CBS (5); Voltage_CLC (3); CDO_I (1)		
ORTHO_00373	2	1	Hexokinase_2 (3); Hexokinase_1 (3)		
ORTHO_00374	2	1	NDT80_PhoG (3)		
ORTHO_00375	2	1			
ORTHO_00376	2	1			
ORTHO_00377	3	0			
ORTHO_00378	2	1			
ORTHO_00379	2	1	Aminotran_MocR (3); Aminotran_1_2 (3)		
ORTHO_00380	2	1	SGL (3)		
ORTHO_00381	2	1			
ORTHO_00382	2	1			
ORTHO_00383	2	1	WSC (3)		
ORTHO_00384	2	1	CPDase (3)		
ORTHO_00385	2	1	IBR (2)		
ORTHO_00386	3	0			
ORTHO_00387	2	1	Sod_Fe_C (3); Sod_Fe_N (3)		
ORTHO_00388	2	1	zf-met (3); SF3A2 (3)		
ORTHO_00389	2	1	PDH (3); NAD_binding_2 (1); F420_oxidored (1)		
ORTHO_00390	2	1	IPP-2 (3)		
ORTHO_00391	2	1	6PF2K (6); His_Phos_1 (3)		
ORTHO_00392	2	1	FAA_hydrolase (3)		
ORTHO_00393	3	0			
ORTHO_00394	2	1	zf-LYAR (3)		
ORTHO_00395	2	1	DUF3605 (3)		
